movie,title,genres,year,Rating,RottenTomato
3133,Go West,Comedy|Western,1924,10,54
8423,"Kid Brother, The",Children|Comedy|Romance,1927,10,100
25763,"Pandora's Box (Büchse der Pandora, Die)",Drama,1929,10,56
2215,Rich and Strange,Comedy|Romance,1930,10,62
1256,Duck Soup,Comedy|Musical|War,1933,10,89
8256,Queen Christina,Drama|Romance,1933,10,81
25801,She Done Him Wrong,Comedy|Romance,1932,10,82
25805,"Atalante, L'",Comedy|Drama|Romance,1933,10,73
8167,Captain Blood,Action|Adventure|Romance,1935,10,61
3462,Modern Times,Comedy|Drama|Romance,1936,10,84
25842,Topper,Comedy|Fantasy|Romance,1936,10,63
25850,Holiday,Comedy|Drama|Romance,1938,10,71
917,"Little Princess, The",Children|Drama,1938,10,52
919,"Wizard of Oz, The",Adventure|Children|Fantasy|Musical,1938,10,92
954,Mr. Smith Goes to Washington,Drama,1938,10,100
7831,Another Thin Man,Comedy|Crime|Drama|Mystery|Romance,1938,10,55
25856,Wuthering Heights,Drama|Romance,1938,10,67
596,Pinocchio,Animation|Children|Fantasy|Musical,1940,10,54
973,Meet John Doe,Comedy|Drama,1941,10,92
2205,Mr. & Mrs. Smith,Comedy|Romance,1941,10,79
2936,Sullivan's Travels,Adventure|Comedy|Romance,1941,10,81
7216,High Sierra,Crime|Drama|Film-Noir|Thriller,1941,10,51
25868,Ball of Fire,Comedy|Romance,1941,10,54
946,To Be or Not to Be,Comedy|Drama|War,1941,10,72
1936,Mrs. Miniver,Drama|War,1941,10,90
2018,Bambi,Animation|Children|Drama,1942,10,78
2204,Saboteur,Mystery|Thriller,1942,10,96
4920,"Now, Voyager",Drama|Romance,1942,10,55
71525,A-Haunting We Will Go,Comedy,1941,10,72
25891,Heaven Can Wait,Comedy|Fantasy|Romance,1943,10,93
2647,House of Frankenstein,Horror,1944,10,73
3643,"Fighting Seabees, The",Action|Drama|War,1944,10,83
2612,Mildred Pierce,Drama|Film-Noir,1945,10,52
8584,Leave Her to Heaven,Drama|Film-Noir,1944,10,95
47714,Blithe Spirit,Comedy|Drama|Fantasy|Romance,1945,10,80
3792,Duel in the Sun,Drama|Romance|Western,1946,10,88
8208,"Razor's Edge, The",Drama,1946,10,64
33760,Anna and the King of Siam,Drama|Romance,1946,10,81
1940,Gentleman's Agreement,Drama,1947,10,67
6467,Quai des Orfèvres (Jenny Lamour),Crime|Drama,1946,10,78
25930,Odd Man Out,Crime|Drama|Film-Noir|Thriller,1947,10,59
41585,Kiss of Death,Crime|Drama|Film-Noir,1947,10,100
5434,"Sorry, Wrong Number",Drama|Film-Noir|Thriller,1947,10,56
1212,"Third Man, The",Film-Noir|Mystery|Thriller,1949,10,52
8491,White Heat,Crime|Drama|Film-Noir,1948,10,95
8752,"Set-Up, The",Drama|Film-Noir|Romance,1949,10,64
3780,Rocketship X-M,Sci-Fi,1949,10,77
44073,Stromboli,Drama,1950,10,67
3475,"Place in the Sun, A",Drama|Romance,1951,10,98
